entry_id,redox_couple,oxidized_species,reduced_species,E0_V_vs_SHE,pH,temperature_K,oxidized_MP_ID,reduced_MP_ID,oxidized_spacegroup,reduced_spacegroup,oxidized_crystal_system,reduced_crystal_system,reference_DOI,half_reaction
26,Pd2+/Pd,Pd2+,Pd,0.951,0.0,298.15,mp-4,mp-2,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Pd2+ + ne- -> Pd
27,Pt2+/Pt,Pt2+,Pt,1.18,0.0,298.15,mp-126,mp-126,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Pt2+ + ne- -> Pt
28,Au3+/Au,Au3+,Au,1.498,0.0,298.15,mp-12681,mp-81,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Au3+ + ne- -> Au
29,Au+/Au,Au+,Au,1.692,0.0,298.15,mp-12681,mp-81,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Au+ + ne- -> Au
30,Ce4+/Ce3+,Ce4+,Ce3+,1.61,0.0,298.15,mp-19359,mp-19358,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1063/1.555839,Ce4+ + ne- -> Ce3+
31,Co3+/Co2+,Co3+,Co2+,1.92,0.0,298.15,mp-19009,mp-1024,R-3c,Fm-3m,Rhombohedral,Cubic,10.1063/1.555839,Co3+ + ne- -> Co2+
32,Cr2O7(2-)/Cr3+,Cr2O7(2-),Cr3+,1.33,0.0,298.15,mp-19317,mp-19317,R-3c,R-3c,Rhombohedral,Rhombohedral,10.1063/1.555839,Cr2O7(2-) + ne- -> Cr3+
33,MnO4-/Mn2+,MnO4-,Mn2+,1.507,0.0,298.15,mp-6773,mp-19017,Cmcm,Pnma,Orthorhombic,Orthorhombic,10.1063/1.555839,MnO4- + ne- -> Mn2+
34,MnO4-/MnO2,MnO4-,MnO2,1.679,0.0,298.15,mp-6773,mp-22526,Cmcm,P42/mnm,Orthorhombic,Tetragonal,10.1063/1.555839,MnO4- + ne- -> MnO2
35,PbO2/Pb2+,PbO2,Pb2+,1.455,0.0,298.15,mp-20529,mp-1518,P4_2/mnm,P63/mmc,Tetragonal,Hexagonal,10.1063/1.555839,PbO2 + ne- -> Pb2+
36,VO2+/VO2+,VO2+,VO2+,1.0,0.0,298.15,mp-19094,mp-6773,I4/mmm,Cmcm,Tetragonal,Orthorhombic,10.1063/1.555839,VO2+ + ne- -> VO2+
37,V3+/V2+,V3+,V2+,-0.255,0.0,298.15,mp-19365,mp-19364,R-3c,P63/mmc,Rhombohedral,Hexagonal,10.1063/1.555839,V3+ + ne- -> V2+
38,Ti3+/Ti2+,Ti3+,Ti2+,-0.369,0.0,298.15,mp-19359,mp-6773,R-3c,P63/mmc,Rhombohedral,Hexagonal,10.1063/1.555839,Ti3+ + ne- -> Ti2+
39,Ti2+/Ti,Ti2+,Ti,-1.63,0.0,298.15,mp-6773,mp-72,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Ti2+ + ne- -> Ti
40,Sn4+/Sn2+,Sn4+,Sn2+,0.15,0.0,298.15,mp-1179,mp-117,P4_2/mnm,I41/amd,Tetragonal,Tetragonal,10.1063/1.555839,Sn4+ + ne- -> Sn2+
41,Hg2+/Hg,Hg2+,Hg,0.851,0.0,298.15,mp-1519,mp-1018,P63/mmc,R-3m,Hexagonal,Rhombohedral,10.1063/1.555839,Hg2+ + ne- -> Hg
42,Fe(CN)6(3-)/Fe(CN)6(4-),Fe(CN)6(3-),Fe(CN)6(4-),0.358,0.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1063/1.555839,Fe(CN)6(3-) + ne- -> Fe(CN)6(4-)
43,Mn3+/Mn2+,Mn3+,Mn2+,1.51,0.0,298.15,mp-19017,mp-19017,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1063/1.555839,Mn3+ + ne- -> Mn2+
44,Ni3+/Ni2+,Ni3+,Ni2+,1.593,0.0,298.15,mp-19009,mp-1024,R-3c,Fm-3m,Rhombohedral,Cubic,10.1063/1.555839,Ni3+ + ne- -> Ni2+
45,Cr3+/Cr2+,Cr3+,Cr2+,-0.407,0.0,298.15,mp-19317,mp-19317,R-3c,R-3c,Rhombohedral,Rhombohedral,10.1063/1.555839,Cr3+ + ne- -> Cr2+
46,Mo3+/Mo,Mo3+,Mo,-0.2,0.0,298.15,mp-29,mp-29,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,Mo3+ + ne- -> Mo
47,W3+/W,W3+,W,0.1,0.0,298.15,mp-19,mp-19,Im-3m,Im-3m,Cubic,Cubic,10.1063/1.555839,W3+ + ne- -> W
48,AgCl/Ag,AgCl,Ag,0.222,0.0,298.15,mp-22917,mp-124,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,AgCl + ne- -> Ag
49,AgBr/Ag,AgBr,Ag,0.071,0.0,298.15,mp-22918,mp-124,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,AgBr + ne- -> Ag
50,AgI/Ag,AgI,Ag,-0.152,0.0,298.15,mp-22919,mp-124,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,AgI + ne- -> Ag
51,Cu2+/Cu+,Cu2+,Cu+,0.153,0.0,298.15,mp-19009,mp-1833,Pnma,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,Cu2+ + ne- -> Cu+
52,Fe3+/Fe,Fe3+,Fe,-0.037,0.0,298.15,mp-19770,mp-13,R-3c,Im-3m,Rhombohedral,Cubic,10.1063/1.555839,Fe3+ + ne- -> Fe
53,I2/I-,I2,I-,0.536,0.0,298.15,mp-23155,mp-23210,Cmca,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,I2 + ne- -> I-
54,Br2/Br-,Br2,Br-,1.087,0.0,298.15,mp-23154,mp-23209,Cmca,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,Br2 + ne- -> Br-
55,Cl2/Cl-,Cl2,Cl-,1.358,0.0,298.15,mp-23153,mp-23208,Cmca,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,Cl2 + ne- -> Cl-
56,F2/F-,F2,F-,2.866,0.0,298.15,mp-23152,mp-23207,Cmca,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,F2 + ne- -> F-
57,O2/H2O,O2,H2O,1.229,0.0,298.15,mp-12957,mp-69705,Cmca,P2_1/c,Orthorhombic,Monoclinic,10.1063/1.555839,O2 + ne- -> H2O
58,O2/H2O2,O2,H2O2,0.695,0.0,298.15,mp-12957,mp-69705,Cmca,P2_1/c,Orthorhombic,Monoclinic,10.1063/1.555839,O2 + ne- -> H2O2
59,H2O2/H2O,H2O2,H2O,1.763,0.0,298.15,mp-69705,mp-69705,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1063/1.555839,H2O2 + ne- -> H2O
60,S2O8(2-)/SO4(2-),S2O8(2-),SO4(2-),2.01,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,S2O8(2-) + ne- -> SO4(2-)
61,NO3-/NO2-,NO3-,NO2-,0.94,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,NO3- + ne- -> NO2-
62,ClO4-/Cl-,ClO4-,Cl-,1.389,0.0,298.15,mp-6773,mp-23208,Cmcm,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,ClO4- + ne- -> Cl-
63,ClO3-/Cl-,ClO3-,Cl-,1.451,0.0,298.15,mp-6773,mp-23208,Cmcm,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,ClO3- + ne- -> Cl-
64,BrO3-/Br-,BrO3-,Br-,1.423,0.0,298.15,mp-6773,mp-23209,Cmcm,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,BrO3- + ne- -> Br-
65,IO3-/I-,IO3-,I-,1.195,0.0,298.15,mp-6773,mp-23210,Cmcm,Fm-3m,Orthorhombic,Cubic,10.1063/1.555839,IO3- + ne- -> I-
66,Ru3+/Ru2+,Ru3+,Ru2+,0.249,0.0,298.15,mp-864,mp-864,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Ru3+ + ne- -> Ru2+
67,Rh3+/Rh2+,Rh3+,Rh2+,0.758,0.0,298.15,mp-33,mp-33,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Rh3+ + ne- -> Rh2+
68,Ir3+/Ir2+,Ir3+,Ir2+,0.97,0.0,298.15,mp-101,mp-101,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Ir3+ + ne- -> Ir2+
69,Os3+/Os2+,Os3+,Os2+,0.7,0.0,298.15,mp-103,mp-103,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Os3+ + ne- -> Os2+
70,Tl3+/Tl+,Tl3+,Tl+,1.252,0.0,298.15,mp-1518,mp-1518,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Tl3+ + ne- -> Tl+
71,Tl+/Tl,Tl+,Tl,-0.336,0.0,298.15,mp-1518,mp-1518,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Tl+ + ne- -> Tl
72,In3+/In,In3+,In,-0.338,0.0,298.15,mp-1018,mp-1018,I4/mmm,I4/mmm,Tetragonal,Tetragonal,10.1063/1.555839,In3+ + ne- -> In
73,Ga3+/Ga,Ga3+,Ga,-0.549,0.0,298.15,mp-1018,mp-1018,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,Ga3+ + ne- -> Ga
74,Ge4+/Ge,Ge4+,Ge,0.124,0.0,298.15,mp-31,mp-31,Fd-3m,Fd-3m,Cubic,Cubic,10.1063/1.555839,Ge4+ + ne- -> Ge
75,Sb3+/Sb,Sb3+,Sb,0.152,0.0,298.15,mp-104,mp-104,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1063/1.555839,Sb3+ + ne- -> Sb
76,Bi3+/Bi,Bi3+,Bi,0.308,0.0,298.15,mp-1018,mp-1018,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1063/1.555839,Bi3+ + ne- -> Bi
77,Te4+/Te,Te4+,Te,0.568,0.0,298.15,mp-19,mp-19,P3_121,P3_121,Trigonal,Trigonal,10.1063/1.555839,Te4+ + ne- -> Te
78,Se4+/Se,Se4+,Se,0.74,0.0,298.15,mp-19,mp-19,P3_121,P3_121,Trigonal,Trigonal,10.1063/1.555839,Se4+ + ne- -> Se
79,Eu3+/Eu2+,Eu3+,Eu2+,-0.35,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Eu3+ + ne- -> Eu2+
80,Yb3+/Yb2+,Yb3+,Yb2+,-1.15,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Yb3+ + ne- -> Yb2+
81,Sm3+/Sm2+,Sm3+,Sm2+,-1.55,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Sm3+ + ne- -> Sm2+
82,V4+/V3+,V4+,V3+,0.337,0.0,298.15,mp-19094,mp-19365,I4_1/a,R-3c,Tetragonal,Rhombohedral,10.1063/1.555839,V4+ + ne- -> V3+
83,V2+/V,V2+,V,-1.13,0.0,298.15,mp-19364,mp-72,P63/mmc,Im-3m,Hexagonal,Cubic,10.1063/1.555839,V2+ + ne- -> V
84,Mo4+/Mo3+,Mo4+,Mo3+,0.02,0.0,298.15,mp-19006,mp-29,P2_1/c,Im-3m,Monoclinic,Cubic,10.1063/1.555839,Mo4+ + ne- -> Mo3+
85,W4+/W3+,W4+,W3+,-0.03,0.0,298.15,mp-19006,mp-19,P2_1/c,Im-3m,Monoclinic,Cubic,10.1063/1.555839,W4+ + ne- -> W3+
86,Pt4+/Pt2+,Pt4+,Pt2+,1.15,0.0,298.15,mp-126,mp-126,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Pt4+ + ne- -> Pt2+
87,Pd4+/Pd2+,Pd4+,Pd2+,1.26,0.0,298.15,mp-4,mp-4,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Pd4+ + ne- -> Pd2+
88,Ir4+/Ir3+,Ir4+,Ir3+,0.87,0.0,298.15,mp-101,mp-101,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Ir4+ + ne- -> Ir3+
89,Ru4+/Ru3+,Ru4+,Ru3+,0.86,0.0,298.15,mp-864,mp-864,P4_2/mnm,P63/mmc,Tetragonal,Hexagonal,10.1063/1.555839,Ru4+ + ne- -> Ru3+
90,Rh4+/Rh3+,Rh4+,Rh3+,1.43,0.0,298.15,mp-33,mp-33,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Rh4+ + ne- -> Rh3+
91,Os4+/Os3+,Os4+,Os3+,0.85,0.0,298.15,mp-103,mp-103,P4_2/mnm,P63/mmc,Tetragonal,Hexagonal,10.1063/1.555839,Os4+ + ne- -> Os3+
92,Ag2+/Ag+,Ag2+,Ag+,1.98,0.0,298.15,mp-124,mp-124,Fm-3m,Fm-3m,Cubic,Cubic,10.1063/1.555839,Ag2+ + ne- -> Ag+
93,Hg2(2+)/Hg,Hg2(2+),Hg,0.797,0.0,298.15,mp-1519,mp-1018,P63/mmc,R-3m,Hexagonal,Rhombohedral,10.1063/1.555839,Hg2(2+) + ne- -> Hg
94,Hg2Cl2/Hg,Hg2Cl2,Hg,0.268,0.0,298.15,mp-22920,mp-1018,I4/mmm,R-3m,Tetragonal,Rhombohedral,10.1063/1.555839,Hg2Cl2 + ne- -> Hg
95,SO4(2-)/SO2,SO4(2-),SO2,0.17,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,SO4(2-) + ne- -> SO2
96,AsO4(3-)/AsO2-,AsO4(3-),AsO2-,0.56,0.0,298.15,mp-19359,mp-19359,R-3c,R-3c,Rhombohedral,Rhombohedral,10.1063/1.555839,AsO4(3-) + ne- -> AsO2-
97,SeO4(2-)/SeO3(2-),SeO4(2-),SeO3(2-),1.15,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,SeO4(2-) + ne- -> SeO3(2-)
98,NO3-/NO,NO3-,NO,0.957,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,NO3- + ne- -> NO
99,ClO3-/ClO2,ClO3-,ClO2,1.175,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,ClO3- + ne- -> ClO2
100,S4O6(2-)/S2O3(2-),S4O6(2-),S2O3(2-),0.08,0.0,298.15,mp-6773,mp-6773,Cmcm,Cmcm,Orthorhombic,Orthorhombic,10.1063/1.555839,S4O6(2-) + ne- -> S2O3(2-)
101,La3+/La,La3+,La,-2.379,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,La3+ + 3e- -> La
102,Ce3+/Ce,Ce3+,Ce,-2.336,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Ce3+ + 3e- -> Ce
103,Pr3+/Pr,Pr3+,Pr,-2.353,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Pr3+ + 3e- -> Pr
104,Nd3+/Nd,Nd3+,Nd,-2.323,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Nd3+ + 3e- -> Nd
105,Sm3+/Sm,Sm3+,Sm,-2.304,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Sm3+ + 3e- -> Sm
106,Eu3+/Eu,Eu3+,Eu,-1.991,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Eu3+ + 3e- -> Eu
107,Gd3+/Gd,Gd3+,Gd,-2.279,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Gd3+ + 3e- -> Gd
108,Tb3+/Tb,Tb3+,Tb,-2.28,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Tb3+ + 3e- -> Tb
109,Dy3+/Dy,Dy3+,Dy,-2.295,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Dy3+ + 3e- -> Dy
110,Ho3+/Ho,Ho3+,Ho,-2.33,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Ho3+ + 3e- -> Ho
111,Er3+/Er,Er3+,Er,-2.331,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Er3+ + 3e- -> Er
112,Tm3+/Tm,Tm3+,Tm,-2.319,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Tm3+ + 3e- -> Tm
113,Yb3+/Yb,Yb3+,Yb,-2.19,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Yb3+ + 3e- -> Yb
114,Lu3+/Lu,Lu3+,Lu,-2.28,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Lu3+ + 3e- -> Lu
115,Y3+/Y,Y3+,Y,-2.372,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Y3+ + 3e- -> Y
116,Sc3+/Sc,Sc3+,Sc,-2.077,0.0,298.15,mp-1018,mp-1018,P63/mmc,P63/mmc,Hexagonal,Hexagonal,10.1063/1.555839,Sc3+ + 3e- -> Sc
117,U4+/U3+,U4+,U3+,0.155,0.0,298.15,mp-796,mp-796,I4/mmm,I4/mmm,Tetragonal,Tetragonal,10.1063/1.555839,U4+ + e- -> U3+
118,U3+/U,U3+,U,-1.798,0.0,298.15,mp-796,mp-796,I4/mmm,I4/mmm,Tetragonal,Tetragonal,10.1063/1.555839,U3+ + e- -> U
119,Np4+/Np3+,Np4+,Np3+,0.155,0.0,298.15,mp-796,mp-796,I4/mmm,I4/mmm,Tetragonal,Tetragonal,10.1063/1.555839,Np4+ + e- -> Np3+
120,Pu4+/Pu3+,Pu4+,Pu3+,1.006,0.0,298.15,mp-796,mp-796,I4/mmm,I4/mmm,Tetragonal,Tetragonal,10.1063/1.555839,Pu4+ + e- -> Pu3+
121,Am4+/Am3+,Am4+,Am3+,2.6,0.0,298.15,mp-796,mp-796,I4/mmm,I4/mmm,Tetragonal,Tetragonal,10.1063/1.555839,Am4+ + e- -> Am3+
122,LiFePO4/FePO4,FePO4,LiFePO4,3.45,7.0,298.15,mp-20361,mp-19017,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiFePO4/FePO4 redox reaction
123,LiCoO2/CoO2,CoO2,LiCoO2,3.9,7.0,298.15,mp-20493,mp-24850,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiCoO2/CoO2 redox reaction
124,LiMn2O4/Mn2O4,Mn2O4,LiMn2O4,4.1,7.0,298.15,mp-18713,mp-18712,Fd-3m,Fd-3m,Cubic,Cubic,10.1021/acsami.4c15742,LiMn2O4/Mn2O4 redox reaction
125,LiNiO2/NiO2,NiO2,LiNiO2,3.8,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiNiO2/NiO2 redox reaction
126,LiV2O5/V2O5,V2O5,LiV2O5,3.2,7.0,298.15,mp-25279,mp-25280,Pmmn,Pmmn,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiV2O5/V2O5 redox reaction
127,LiTiS2/TiS2,TiS2,LiTiS2,2.15,7.0,298.15,mp-2267,mp-2268,P-3m1,P-3m1,Trigonal,Trigonal,10.1021/acsami.4c15742,LiTiS2/TiS2 redox reaction
128,LiCrO2/CrO2,CrO2,LiCrO2,3.5,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiCrO2/CrO2 redox reaction
129,Li2MnO3/MnO2,MnO2,Li2MnO3,4.1,7.0,298.15,mp-22526,mp-18713,P42/mnm,C2/m,Tetragonal,Monoclinic,10.1021/acsami.4c15742,Li2MnO3/MnO2 redox reaction
130,Li2FeSiO4/FeSiO4,FeSiO4,Li2FeSiO4,2.8,7.0,298.15,mp-676141,mp-676140,Pmn2_1,Pmn2_1,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,Li2FeSiO4/FeSiO4 redox reaction
131,Li2MnSiO4/MnSiO4,MnSiO4,Li2MnSiO4,4.1,7.0,298.15,mp-676141,mp-676140,Pmn2_1,Pmn2_1,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,Li2MnSiO4/MnSiO4 redox reaction
132,Li2CoSiO4/CoSiO4,CoSiO4,Li2CoSiO4,4.1,7.0,298.15,mp-676141,mp-676140,Pmn2_1,Pmn2_1,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,Li2CoSiO4/CoSiO4 redox reaction
133,LiFeSO4F/FeSO4F,FeSO4F,LiFeSO4F,3.6,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiFeSO4F/FeSO4F redox reaction
134,LiCoSO4F/CoSO4F,CoSO4F,LiCoSO4F,4.4,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiCoSO4F/CoSO4F redox reaction
135,LiMnSO4F/MnSO4F,MnSO4F,LiMnSO4F,3.9,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiMnSO4F/MnSO4F redox reaction
136,LiNiSO4F/NiSO4F,NiSO4F,LiNiSO4F,4.2,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiNiSO4F/NiSO4F redox reaction
137,LiVPO4F/VPO4F,VPO4F,LiVPO4F,4.2,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiVPO4F/VPO4F redox reaction
